GB_GCA_000010565.1	Pelotomaculum thermopropionicum SI
GB_GCA_000013845.1	Clostridium perfringens SM101
GB_GCA_000013925.1	Mycobacterium ulcerans Agy99
GB_GCA_000016485.1	Haemophilus influenzae PittGG
GB_GCA_000018565.1	Herpetosiphon aurantiacus DSM 785
GB_GCA_000021525.1	Rickettsia peacockii str. Rustic
GB_GCA_000024525.1	Spirosoma linguale DSM 74
GB_GCA_000091165.1	Candidatus Methylomirabilis oxyfera
GB_GCA_000147035.1	Candidatus Sulcia muelleri CARI
GB_GCA_000148975.2	Streptococcus infantis SK1302
GB_GCA_000158535.2	Fusobacterium nucleatum subsp. animalis D11
GB_GCA_000163995.1	Campylobacter jejuni subsp. jejuni 414
GB_GCA_000167695.1	Bacillus thuringiensis serovar israelensis ATCC 35646
GB_GCA_000169735.1	Haemophilus influenzae 22.1-21
GB_GCA_000169755.1	Haemophilus influenzae R3021
GB_GCA_000169855.1	Haemophilus influenzae 22.4-21
GB_GCA_000170815.1	unidentified eubacterium SCB49
GB_GCA_000172195.1	Helicobacter pylori HPKX_438_AG0C1
GB_GCA_000180055.1	Streptococcus downei F0415
GB_GCA_000180115.1	Clostridium cellulovorans 743B
GB_GCA_000183865.1	Listeria marthii FSL S4-120
GB_GCA_000191825.1	Treponema denticola F0402
GB_GCA_000192415.1	Nocardioidaceae bacterium Broad-1
GB_GCA_000204075.1	Anabaena variabilis ATCC 29413
GB_GCA_000205985.2	uncultured SUP05 cluster bacterium
GB_GCA_000209815.1	Butyrivibrio fibrisolvens 16/4
GB_GCA_000209875.1	Ruminococcus bromii L2-63
GB_GCA_000209895.1	butyrate-producing bacterium SS3/4
GB_GCA_000209915.1	[Eubacterium] siraeum 70/3
GB_GCA_000209975.1	Megamonas hypermegale ART12/1
GB_GCA_000210015.1	Blautia obeum A2-162
GB_GCA_000210035.1	Ruminococcus torques L2-14
GB_GCA_000210555.1	Coprococcus catus GD/7
GB_GCA_000210655.1	Roseburia intestinalis XB6B4
GB_GCA_000210715.1	Fretibacterium fastidiosum
GB_GCA_000210735.1	Faecalibacterium prausnitzii L2-6
GB_GCA_000211335.2	gamma proteobacterium IMCC2047
GB_GCA_000211545.6	Mycoplasma gallisepticum S6
GB_GCA_000213335.2	SAR324 cluster bacterium SCGC AAA001-C10
GB_GCA_000213395.2	gamma proteobacterium SCGC AAA007-O20
GB_GCA_000214705.1	Desulfotomaculum kuznetsovii DSM 6115
GB_GCA_000218705.1	Prochlorococcus marinus bv. HNLC1
GB_GCA_000218745.1	Prochlorococcus marinus bv. HNLC2
GB_GCA_000219315.2	Pasteurella multocida subsp. gallicida str. Anand1_poultry
GB_GCA_000219855.1	Sulfobacillus acidophilus TPY
GB_GCA_000220825.1	Fusobacterium nucleatum subsp. animalis ATCC 51191
GB_GCA_000223235.2	Streptococcus oralis SK313
GB_GCA_000223275.2	Haemophilus pittmaniae HK 85
GB_GCA_000224765.2	SAR324 cluster bacterium JCVI-SC AAA005
GB_GCA_000226415.1	Streptomyces lysosuperificus ATCC 31396
GB_GCA_000226435.1	Streptomyces chartreusis NRRL 3882
GB_GCA_000226895.2	Xanthomonas sp. NCPPB1131
GB_GCA_000226915.2	Xanthomonas sp. NCPPB1132
GB_GCA_000228645.2	Streptococcus sobrinus TCI-194
GB_GCA_000234195.1	Candidatus Paraburkholderia kirkii UZHbot1
GB_GCA_000234645.3	Helicobacter pylori B45
GB_GCA_000238975.1	Serratia symbiotica str. 'Cinara cedri'
GB_GCA_000242215.1	Fusobacterium necrophorum subsp. funduliforme 1_1_36S
GB_GCA_000244035.3	Leptospira interrogans str. L1207
GB_GCA_000244635.3	Leptospira interrogans serovar Bataviae str. HAI135
GB_GCA_000252345.2	Vibrio campbellii PEL22A
GB_GCA_000252425.1	Prochloron didemni P2-Fiji
GB_GCA_000252465.1	Prochloron didemni P3-Solomon
GB_GCA_000252485.1	Prochloron didemni P4-Papua_New_Guinea
GB_GCA_000252525.1	SAR86 cluster bacterium SAR86A
GB_GCA_000271845.1	Rhizobium leguminosarum bv. trifolii WSM2297
GB_GCA_000276965.1	Thiovulum sp. ES
GB_GCA_000278925.1	Streptococcus pneumoniae 2072047
GB_GCA_000284675.1	Streptococcus thermophilus CNCM I-1630
GB_GCA_000285135.1	Helicobacter pylori NQ1701
GB_GCA_000285635.1	Mitsuaria sp. H24L5A
GB_GCA_000286355.1	Kocuria atrinae C3-8
GB_GCA_000291805.1	Prochlorococcus sp. W7
GB_GCA_000291825.1	Prochlorococcus sp. W8
GB_GCA_000291885.1	Prochlorococcus sp. W2
GB_GCA_000292775.1	Pseudomonas putida S11
GB_GCA_000294575.1	actinobacterium SCGC AAA027-L06
GB_GCA_000305335.1	Streptococcus salivarius 57.I
GB_GCA_000307935.1	SAR86 cluster bacterium SAR86E
GB_GCA_000307955.1	Desulfovibrio magneticus str. Maddingley MBC34
GB_GCA_000308135.1	Donghicola sp. S598
GB_GCA_000309845.1	Clostridium sp. Maddingley MBC34-26
GB_GCA_000310245.1	Candidatus Sulfuricurvum sp. RIFRC-1
GB_GCA_000316985.1	Vibrio sp. 624788
GB_GCA_000317655.1	Cyanobacterium stanieri PCC 7202
GB_GCA_000331975.1	Candidatus Uzinura diaspidicola str. ASNER
GB_GCA_000333635.1	Enterobacter sp. B509
GB_GCA_000336385.1	Lysobacter antibioticus HS124
GB_GCA_000347575.1	Candidatus Caldatribacterium saccharofermentans OP9-77CS
GB_GCA_000353875.1	Candidatus Caldatribacterium californiense OP9-cSCG
GB_GCA_000364545.1	alpha proteobacterium SCGC AAA027-C06
GB_GCA_000367225.1	Taylorella asinigenitalis 14/45
GB_GCA_000367705.1	Mesotoga infera
GB_GCA_000371825.1	alpha proteobacterium SCGC AAA027-J10
GB_GCA_000371845.1	alpha proteobacterium SCGC AAA280-P20
GB_GCA_000371865.1	alpha proteobacterium SCGC AAA027-L15
GB_GCA_000372185.1	actinobacterium SCGC AAA278-O22
GB_GCA_000372225.1	Nitrospina sp. SCGC AAA288-L16
GB_GCA_000372785.1	gamma proteobacterium SCGC AB-629-P17
GB_GCA_000375825.1	Marinimicrobia bacterium SCGC AB-629-J13
GB_GCA_000378865.1	actinobacterium SCGC AAA278-I18
GB_GCA_000378885.1	actinobacterium SCGC AAA044-N04
GB_GCA_000378905.1	actinobacterium SCGC AAA028-A23
GB_GCA_000379225.1	zeta proteobacterium SCGC AB-137-C09
GB_GCA_000380765.1	Cloacimonetes bacterium JGI 0000039-G13
GB_GCA_000380785.1	Hydrogenedentes bacterium JGI 0000039-J10
GB_GCA_000383115.1	alpha proteobacterium SCGC AAA015-N04
GB_GCA_000383155.1	alpha proteobacterium SCGC AAA076-C03
GB_GCA_000383355.1	Flavobacterium sp. SCGC AAA160-P02
GB_GCA_000383715.1	Verrucomicrobia bacterium SCGC AAA164-E04
GB_GCA_000383735.1	Verrucomicrobia bacterium SCGC AAA164-M04
GB_GCA_000383815.1	actinobacterium SCGC AAA027-J17
GB_GCA_000384615.1	alpha proteobacterium SCGC AAA536-G10
GB_GCA_000384855.1	gamma proteobacterium SCGC AAA076-D13
GB_GCA_000384895.1	gamma proteobacterium SCGC AAA076-D02
GB_GCA_000384915.1	gamma proteobacterium SCGC AAA076-F14
GB_GCA_000384935.1	gamma proteobacterium SCGC AAA076-P13
GB_GCA_000384955.1	gamma proteobacterium SCGC AAA168-I18
GB_GCA_000384995.1	gamma proteobacterium SCGC AAA300-D14
GB_GCA_000385055.1	gamma proteobacterium SCGC AAA168-P09
GB_GCA_000385635.1	candidate division TM6 bacterium JCVI TM6SC1
GB_GCA_000385735.1	Streptococcus pneumoniae 845
GB_GCA_000389905.1	Mycobacterium tuberculosis str. Haarlem/NITR202
GB_GCA_000389925.1	Mycobacterium tuberculosis CAS/NITR204
GB_GCA_000392435.1	Candidatus Saccharimonas aalborgensis
GB_GCA_000397845.1	Cloacimonetes bacterium SCGC AAA252-M08
GB_GCA_000397885.1	Cloacimonetes bacterium SCGC AAA252-O17
GB_GCA_000398025.1	Candidatus Paceibacter normanii SCGC AAA255-P19
GB_GCA_000402215.1	Cloacimonetes bacterium SCGC AAA252-D03
GB_GCA_000402295.1	Candidatus Aerophobus profundus SCGC AAA252-L23
GB_GCA_000402595.1	Aminicenantes bacterium SCGC AAA252-A02
GB_GCA_000402635.1	Aminicenantes bacterium SCGC AAA252-F08
GB_GCA_000402655.1	Marinimicrobia bacterium SCGC AAA298-D23
GB_GCA_000402755.1	Marinimicrobia bacterium SCGC AAA160-B08
GB_GCA_000402795.1	Marinimicrobia bacterium SCGC AAA160-C11
GB_GCA_000402815.1	Marinimicrobia bacterium SCGC AAA160-I06
GB_GCA_000403035.1	Candidatus Latescibacter anaerobius SCGC AAA252-E07
GB_GCA_000403055.1	Cloacimonetes bacterium SCGC AAA252-N14
GB_GCA_000403075.1	Calescamantes bacterium SCGC AAA471-M6
GB_GCA_000403945.1	Desulfovibrio sp. Dsv1
GB_GCA_000404685.1	Calescamantes bacterium JGI 0000106-N7
GB_GCA_000404785.1	Cloacimonetes bacterium SCGC AAA252-N17
GB_GCA_000404825.1	Cloacimonetes bacterium SCGC AAA252-E20
GB_GCA_000404865.1	Cloacimonetes bacterium SCGC AAA252-G08
GB_GCA_000404885.1	Cloacimonetes bacterium SCGC AAA252-I11
GB_GCA_000404905.1	Cloacimonetes bacterium SCGC AAA252-I16
GB_GCA_000405105.1	Cloacimonetes bacterium SCGC AAA252-P10
GB_GCA_000405145.1	Hydrogenedentes bacterium JGI 0000077-O16
GB_GCA_000405805.1	Marinimicrobia bacterium SCGC AAA003-L08
GB_GCA_000405945.1	Candidatus Omnitrophus fodinae SCGC AAA011-A17
GB_GCA_000406005.1	Poribacteria bacterium WGA-3G
GB_GCA_000409545.1	Aeromonas veronii PhIn2
GB_GCA_000409605.1	Microbacterium sp. AO20a11
GB_GCA_000411595.1	Paenibacillus lentimorbus NRRL B-30488
GB_GCA_000416275.1	Osedax symbiont Rs1
GB_GCA_000416315.1	Osedax symbiont Rs2
GB_GCA_000418455.1	Streptomyces rapamycinicus NRRL 5491
GB_GCA_000419465.1	alpha proteobacterium SCGC AAA028-C07
GB_GCA_000419545.1	Candidatus Pelagibacter ubique HIMB058
GB_GCA_000421325.1	alpha proteobacterium SCGC AAA536-K22
GB_GCA_000421885.1	Laceyella sacchari 1-1
GB_GCA_000428385.1	beta proteobacterium SCGC AAA027-C02
GB_GCA_000430305.1	Streptococcus mitis 17/34
GB_GCA_000430345.1	Streptococcus mitis 18/56
GB_GCA_000430365.1	Streptococcus mitis 29/42
GB_GCA_000431015.1	Alistipes sp. CAG:514
GB_GCA_000431035.1	Clostridium sp. CAG:226
GB_GCA_000431055.1	Bacteroides sp. CAG:598
GB_GCA_000431075.1	Firmicutes bacterium CAG:555
GB_GCA_000431115.1	Clostridium sp. CAG:715
GB_GCA_000431135.1	Clostridium sp. CAG:590
GB_GCA_000431155.1	Bacteroides sp. CAG:927
GB_GCA_000431215.1	Prevotella sp. CAG:1031
GB_GCA_000431235.1	Coprobacillus sp. CAG:698
GB_GCA_000431275.1	Prevotella sp. CAG:755
GB_GCA_000431315.1	Brachyspira sp. CAG:484
GB_GCA_000431335.1	Clostridium sp. CAG:343
GB_GCA_000431375.1	Clostridium sp. CAG:7
GB_GCA_000431435.1	Veillonella sp. CAG:933
GB_GCA_000431455.1	Parasutterella excrementihominis CAG:233
GB_GCA_000431495.1	Firmicutes bacterium CAG:791
GB_GCA_000431515.1	Clostridium sp. CAG:632
GB_GCA_000431535.1	Clostridium sp. CAG:678
GB_GCA_000431555.1	Clostridium sp. CAG:306
GB_GCA_000431575.1	Firmicutes bacterium CAG:83
GB_GCA_000431595.1	Brachyspira sp. CAG:700
GB_GCA_000431655.1	Clostridium nexile CAG:348
GB_GCA_000431675.1	Eggerthella sp. CAG:1427
GB_GCA_000431735.1	Eubacterium sp. CAG:86
GB_GCA_000431775.1	Clostridium sp. CAG:413
GB_GCA_000431795.1	Clostridium sp. CAG:302
GB_GCA_000431815.1	Butyrivibrio sp. CAG:318
GB_GCA_000431835.1	Succinatimonas sp. CAG:777
GB_GCA_000431855.1	Clostridium sp. CAG:352
GB_GCA_000431875.1	Firmicutes bacterium CAG:24
GB_GCA_000431895.1	Eubacterium sp. CAG:603
GB_GCA_000431915.1	Prevotella sp. CAG:386
GB_GCA_000431975.1	Prevotella sp. CAG:924
GB_GCA_000431995.1	Clostridium sp. CAG:81
GB_GCA_000432015.1	Clostridium sp. CAG:1024
GB_GCA_000432075.1	Ruminococcus sp. CAG:724
GB_GCA_000432135.1	Firmicutes bacterium CAG:124
GB_GCA_000432155.1	Eubacterium sp. CAG:274
GB_GCA_000432175.1	Eubacterium sp. CAG:786
GB_GCA_000432195.1	Firmicutes bacterium CAG:424
GB_GCA_000432255.1	Acholeplasma sp. CAG:878
GB_GCA_000432275.1	Proteobacteria bacterium CAG:495
GB_GCA_000432315.1	Clostridium sp. CAG:264
GB_GCA_000432335.1	Firmicutes bacterium CAG:646
GB_GCA_000432355.1	Eubacterium sp. CAG:161
GB_GCA_000432375.1	Firmicutes bacterium CAG:103
GB_GCA_000432435.1	Eubacterium sp. CAG:180
GB_GCA_000432455.1	Ruminococcus sp. CAG:17
GB_GCA_000432475.1	Clostridium sp. CAG:127
GB_GCA_000432515.1	Bacteroides sp. CAG:545
GB_GCA_000432535.1	Bacteroides sp. CAG:661
GB_GCA_000432575.1	Clostridium sp. CAG:762
GB_GCA_000432595.1	Clostridium sp. CAG:710
GB_GCA_000432655.1	Bacteroides sp. CAG:1060
GB_GCA_000432695.1	Bacteroides sp. CAG:702
GB_GCA_000432735.1	Bacteroides sp. CAG:443
GB_GCA_000432755.1	Roseburia sp. CAG:380
GB_GCA_000432775.1	Alistipes sp. CAG:831
GB_GCA_000432815.1	Roseburia sp. CAG:45
GB_GCA_000432835.1	Clostridium sp. CAG:417
GB_GCA_000432855.1	Firmicutes bacterium CAG:822
GB_GCA_000432875.1	Firmicutes bacterium CAG:466
GB_GCA_000432895.1	Firmicutes bacterium CAG:449
GB_GCA_000432915.1	Firmicutes bacterium CAG:194
GB_GCA_000432975.1	Clostridium sp. CAG:349
GB_GCA_000432995.1	Clostridium sp. CAG:1013
GB_GCA_000433015.1	Firmicutes bacterium CAG:631
GB_GCA_000433035.1	Staphylococcus sp. CAG:324
GB_GCA_000433075.1	Coprococcus sp. CAG:782
GB_GCA_000433095.1	Clostridium sp. CAG:967
GB_GCA_000433115.1	Ruminococcus sp. CAG:382
GB_GCA_000433135.1	Clostridium sp. CAG:921
GB_GCA_000433175.1	Prevotella sp. CAG:1058
GB_GCA_000433195.1	Firmicutes bacterium CAG:129
GB_GCA_000433215.1	Dorea sp. CAG:105
GB_GCA_000433235.1	Acinetobacter sp. CAG:196
GB_GCA_000433255.1	Coprobacillus sp. CAG:605
GB_GCA_000433275.1	Dialister invisus CAG:218
GB_GCA_000433315.1	Firmicutes bacterium CAG:345
GB_GCA_000433335.1	Clostridium sp. CAG:1219
GB_GCA_000433355.1	Alistipes sp. CAG:435
GB_GCA_000433395.1	Clostridium hathewayi CAG:224
GB_GCA_000433415.1	Clostridium sp. CAG:448
GB_GCA_000433455.1	Mycoplasma sp. CAG:877
GB_GCA_000433475.1	Mycoplasma sp. CAG:956
GB_GCA_000433515.1	Firmicutes bacterium CAG:272
GB_GCA_000433535.1	Dorea sp. CAG:317
GB_GCA_000433595.1	Clostridium sp. CAG:356
GB_GCA_000433635.1	Ruminococcus sp. CAG:254
GB_GCA_000433675.1	Clostridium sp. CAG:433
GB_GCA_000433715.1	Bacteroides plebeius CAG:211
GB_GCA_000433735.1	Clostridium sp. CAG:167
GB_GCA_000433755.1	Clostridium sp. CAG:465
GB_GCA_000433775.1	Corallococcus sp. CAG:1435
GB_GCA_000433815.1	Blautia sp. CAG:257
GB_GCA_000433855.1	Collinsella sp. CAG:398
GB_GCA_000433875.1	Firmicutes bacterium CAG:884
GB_GCA_000433895.1	Prevotella sp. CAG:474
GB_GCA_000433915.1	Clostridium sp. CAG:793
GB_GCA_000433975.1	Anaerotruncus sp. CAG:528
GB_GCA_000433995.1	Firmicutes bacterium CAG:313
GB_GCA_000434015.1	Clostridium sp. CAG:571
GB_GCA_000434035.1	Clostridium sp. CAG:452
GB_GCA_000434055.1	Ruminococcus sp. CAG:488
GB_GCA_000434075.1	Firmicutes bacterium CAG:212
GB_GCA_000434115.1	Roseburia sp. CAG:309
GB_GCA_000434135.1	Acetobacter sp. CAG:267
GB_GCA_000434175.1	Mycoplasma sp. CAG:611
GB_GCA_000434195.1	Clostridium sp. CAG:780
GB_GCA_000434215.1	Bacteroides sp. CAG:144
GB_GCA_000434235.1	Alistipes sp. CAG:268
GB_GCA_000434255.1	Ruminococcus sp. CAG:379
GB_GCA_000434275.1	Roseburia sp. CAG:197
GB_GCA_000434295.1	Acetobacter sp. CAG:977
GB_GCA_000434315.1	Eubacterium sp. CAG:156
GB_GCA_000434335.1	Clostridium sp. CAG:492
GB_GCA_000434355.1	Firmicutes bacterium CAG:536
GB_GCA_000434395.1	Clostridium sp. CAG:568
GB_GCA_000434415.1	Eubacterium eligens CAG:72
GB_GCA_000434435.1	Firmicutes bacterium CAG:475
GB_GCA_000434455.1	Prevotella sp. CAG:5226
GB_GCA_000434475.1	Dialister sp. CAG:486
GB_GCA_000434495.1	Clostridium sp. CAG:533
GB_GCA_000434515.1	Prevotella sp. CAG:604
GB_GCA_000434535.1	Collinsella sp. CAG:166
GB_GCA_000434555.1	Clostridium sp. CAG:524
GB_GCA_000434595.1	Faecalibacterium sp. CAG:82
GB_GCA_000434615.1	Clostridium sp. CAG:510
GB_GCA_000434635.1	Firmicutes bacterium CAG:110
GB_GCA_000434655.1	Clostridium sp. CAG:43
GB_GCA_000434675.1	Faecalibacterium sp. CAG:1138
GB_GCA_000434695.1	Ruminococcus sp. CAG:579
GB_GCA_000434715.1	Firmicutes bacterium CAG:308
GB_GCA_000434735.1	Bacteroides sp. CAG:530
GB_GCA_000434775.1	Eggerthella sp. CAG:368
GB_GCA_000434795.1	Eubacterium siraeum CAG:80
GB_GCA_000434835.1	Clostridium sp. CAG:594
GB_GCA_000434855.1	Sutterella sp. CAG:397
GB_GCA_000434875.1	Bacteroides sp. CAG:754
GB_GCA_000434895.1	Phascolarctobacterium succinatutens CAG:287
GB_GCA_000434915.1	Ruminococcus sp. CAG:563
GB_GCA_000434935.1	Bacteroides sp. CAG:709
GB_GCA_000434955.1	Firmicutes bacterium CAG:65
GB_GCA_000434975.1	Prevotella sp. CAG:520
GB_GCA_000434995.1	Firmicutes bacterium CAG:341
GB_GCA_000435035.1	Porphyromonas sp. CAG:1061
GB_GCA_000435055.1	Clostridium sp. CAG:138
GB_GCA_000435075.1	Bacteroides sp. CAG:770
GB_GCA_000435095.1	Bacteroides sp. CAG:462
GB_GCA_000435115.1	Bacteroides sp. CAG:633
GB_GCA_000435155.1	Dialister sp. CAG:357
GB_GCA_000435175.1	Clostridium sp. CAG:245
GB_GCA_000435195.1	Clostridium sp. CAG:169
GB_GCA_000435215.1	Blautia sp. CAG:52
GB_GCA_000435255.1	Prevotella copri CAG:164
GB_GCA_000435275.1	Clostridium sp. CAG:557
GB_GCA_000435295.1	Firmicutes bacterium CAG:114
GB_GCA_000435335.1	Clostridium sp. CAG:964
GB_GCA_000435375.1	Clostridium sp. CAG:798
GB_GCA_000435395.1	Firmicutes bacterium CAG:94
GB_GCA_000435415.1	Bacteroides sp. CAG:875
GB_GCA_000435435.1	Alistipes sp. CAG:29
GB_GCA_000435455.1	Clostridium sp. CAG:242
GB_GCA_000435475.1	Cryptobacterium sp. CAG:338
GB_GCA_000435495.1	Firmicutes bacterium CAG:552
GB_GCA_000435515.1	Firmicutes bacterium CAG:582
GB_GCA_000435535.1	Clostridium sp. CAG:575
GB_GCA_000435555.1	Firmicutes bacterium CAG:176
GB_GCA_000435575.1	Clostridium sp. CAG:230
GB_GCA_000435595.1	Firmicutes bacterium CAG:882
GB_GCA_000435615.1	Firmicutes bacterium CAG:238
GB_GCA_000435635.1	Prevotella sp. CAG:1320
GB_GCA_000435655.1	Clostridium sp. CAG:299
GB_GCA_000435675.1	Eggerthella sp. CAG:298
GB_GCA_000435715.1	Firmicutes bacterium CAG:145
GB_GCA_000435755.1	Clostridium sp. CAG:508
GB_GCA_000435775.1	Firmicutes bacterium CAG:270
GB_GCA_000435795.1	Clostridium sp. CAG:58
