SppName	Label	OttId	GbifId	ncbiId	Synonyms
Abeomelomys sevia	Abeomelomys_sevia_MURIDAE_RODENTIA	456612	gbif:4264979	ncbi:491870	Melomys sevia,? sevia,Pogonomelomys sevia
Abrocoma bennettii	Abrocoma_bennettii_ABROCOMIDAE_RODENTIA	234035	gbif:2439416	ncbi:108855	
Abrocoma boliviensis	Abrocoma_boliviensis_ABROCOMIDAE_RODENTIA	3609753	gbif:2439414	ncbi:1568925	
Abrocoma cinerea	Abrocoma_cinerea_ABROCOMIDAE_RODENTIA	906641	gbif:2439415	ncbi:126064	
Abrothrix andinus	Abrothrix_andinus_CRICETIDAE_RODENTIA	292081	gbif:4265099	ncbi:89096	Akodon andinus,Chroeomys andinus,? andinus
Abrothrix hershkovitzi	Abrothrix_hershkovitzi_CRICETIDAE_RODENTIA	621147	gbif:4265096	ncbi:573592	Akodon hershkovitzi
Abrothrix illuteus	Abrothrix_illuteus_CRICETIDAE_RODENTIA	419783	gbif:4265093	ncbi:978106	Abrothrix illutea,Akodon illuteus
Abrothrix jelskii	Abrothrix_jelskii_CRICETIDAE_RODENTIA	644651	gbif:4265098	ncbi:241142	Akodon jelskii,Chroeomys jelskii,Acodon jelskii pyrrhotis,? jelskii
Abrothrix lanosus	Abrothrix_lanosus_CRICETIDAE_RODENTIA	843843	gbif:4265095	ncbi:553233	Abrothrix lanosa,Akodon lanosus,Oxymycterus lanosus,? lanosus
Abrothrix longipilis	Abrothrix_longipilis_CRICETIDAE_RODENTIA	754326	gbif:4265092	ncbi:29094	Akodon longipilis,Akodon longipilis castaneus,Akodon longipilis apta,Acodon hirtus,? longipilis
Abrothrix markhami	Abrothrix_markhami_CRICETIDAE_RODENTIA	311709	gbif:4265097	ncbi:430900	Abrothrix olivaceus markhami,Akodon markhami
Abrothrix olivaceus	Abrothrix_olivaceus_CRICETIDAE_RODENTIA	754318	gbif:4265094	ncbi:29098	Abrothrix olivacea,Akodon olivaceus,Akodon mansoensis,Akodon xanthorhinus,? olivaceus
Abrothrix sanborni	Abrothrix_sanborni_CRICETIDAE_RODENTIA	3608360	gbif:4265091	ncbi:682468	Akodon sanborni
Acerodon celebensis	Acerodon_celebensis_PTEROPODIDAE_CHIROPTERA	635022	gbif:5218704	ncbi:58057	Pteropus celebensis
Acerodon jubatus	Acerodon_jubatus_PTEROPODIDAE_CHIROPTERA	718815	gbif:5218703	ncbi:505845	
Acinonyx jubatus	Acinonyx_jubatus_FELIDAE_CARNIVORA	752759	gbif:2435270	ncbi:32536	Cynaelurus jubatus,Felis jubata,Acinonyx rex
Acomys cahirinus	Acomys_cahirinus_MURIDAE_RODENTIA	816259	gbif:9800308	ncbi:10068	Acomys albigena,Acomys cahirinus helmyi,Acomys sabryi,Acomys hunteri,Acomys dimidiatus megalodus,Acomys viator
Acomys cilicicus	Acomys_cilicicus_MURIDAE_RODENTIA	173081	gbif:2438254	ncbi:83530	
